,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
March 2020 Fn 1 ,15,1,12,12,288,80,7,16,95,139,7,1,32,12,16,7,16,15,11,26,109,1782,14,235,26,1,15,11,6,44,7,311,22,1,5,273,24,52,18,20,9,1,22,6,4,29,569,0,19,2
March 2020 Fn 2,1056,128,1289,560,6932,2951,3128,357,6545,4236,283,525,5994,2159,497,428,709,1056,341,1660,6620,19903,689,2242,2558,203,180,1113,367,18696,315,32656,1428,126,2199,1655,690,4959,543,978,108,1981,3266,934,273,1020,5224,162,1351,120
April 2020 Fn 1,4030,285,3806,1498,23253,8198,13989,1862,20787,14133,524,1486,23247,8527,1899,1477,2245,4030,769,9472,28163,36236,1809,4582,5321,404,912,3088,1091,68824,1407,91743,5018,341,7280,2903,1633,25670,3442,3544,1168,5605,14624,2453,706,6171,10345,694,3555,494
April 2020 Fn 2,7168,355,7648,3255,48917,15849,27700,4802,33521,25241,607,2015,52918,17835,7145,4238,4709,6803,1120,21742,62205,54435,5136,8460,8700,453,4461,5007,2146,118653,3411,136894,10705,1067,18027,4444,2510,48134,8511,5987,2449,10804,28087,4753,796,15846,14349,1125,6854,559
May 2020 Fn 1,11138,389,12674,4348,73164,21224,35464,7314,42655,33657,626,2351,87937,26053,13675,7468,7543,11138,1583,35903,82182,77180,14240,12194,11020,466,9423,6499,3382,142843,5503,154506,16711,1712,26357,5919,3479,63196,11678,8134,3792,16586,43851,6837,856,27813,17791,1434,11275,701
May 2020 Fn 2,18172,463,19936,7253,110583,26768,42201,9505,55195,45612,644,2839,120260,34574,19552,9719,10374,18172,2313,52778,96965,98121,25208,17447,14093,515,14066,8610,4651,160807,7689,167467,28686,2577,35513,7427,4243,75940,14266,12058,4993,22666,64287,9944,904,44607,21611,2010,18403,903
June 2020 Fn 1,26142,665,35696,12501,148855,29529,45088,10343,75107,56869,724,3399,133404,39909,23926,11047,13099,26142,2764,61701,101276,108185,30693,22587,17356,609,16666,11173,5318,167472,9723,173446,44159,3080,41148,10767,5636,83058,15323,18921,5898,29691,87854,14469,1040,54506,25659,2290,25295,1060
June 2020 Fn 2,38389,944,79236,20777,222917,33189,46514,11562,156499,81677,908,6117,144238,45594,28947,14443,16831,38389,3243,67559,103701,125203,36716,32836,25360,1018,19131,18684,5782,172678,12147,178275,64967,3576,51789,19014,8656,91054,16047,35683,6764,42049,159986,22746,1108,62787,32718,2905,31662,1487
July 2020 Fn 1,58044,1580,128132,29733,336447,38363,47530,13346,296541,125091,1267,11718,156638,52685,35850,20058,22698,58044,3523,74260,105986,143429,43170,45759,38409,1952,21624,29832,6091,177488,15514,183559,89772,4565,67995,30171,12805,101292,16660,59922,7572,64883,275058,31196,1198,72443,42143,4407,41349,1951
July 2020 Fn 2,87946,2993,174062,42511,493588,47832,49810,15060,470600,190734,2172,20721,180118,66154,44582,27812,33729,87946,3890,88346,109787,166566,55188,64780,55735,3954,25804,47170,6544,183217,20388,189507,120825,6469,89626,42009,18131,116054,18001,88205,8685,99213,412107,40258,1293,88904,55605,6422,56934,2726
